"filename", "language", "Java", "XML", "YAML", "Batch", "Properties", "Markdown", "JSON with Comments", "TypeScript", "JavaScript", "HTML", "CSS", "JSON", "vue", "TypeScript React", "SCSS", "comment", "blank", "total"
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\store\modules\permission.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -50, 0, 0, 0, 0, 0, 0, 0, -1, -7, -58
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\store\modules\settings.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, 0, 0, 0, 0, 0, 0, -3, -28
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\store\modules\tags-view.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -76, 0, 0, 0, 0, 0, 0, 0, -11, -8, -95
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\store\modules\user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -88, 0, 0, 0, 0, 0, 0, 0, -10, -6, -104
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\element-plus.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, -5, -3, -24
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -37, -6, -8, -51
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\core\element-plus.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -2, -2, -21
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\core\error-page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -1, -2, -6
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\core\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, -1, -9
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\core\layout.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -55, -6, -6, -67
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\core\login.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -1, -2, -10
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\core\other.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -2, -2, -10
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\core\vxe-table.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29, -16, -14, -59
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\dark-blue\element-plus.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, 0, 0, -10, -2, -30
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\dark-blue\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\dark-blue\variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -8, -2, -17
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\dark\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, -1, -3
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\dark\variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -8, -2, -17
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\register.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -1, -4
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\transition.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20, -3, -3, -26
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\variables.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -26, 0, 0, 0, 0, -8, -2, -36
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\vxe-table.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -30, -5, -4, -39
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\types\serviceEntity\Room.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -133, 0, 0, 0, 0, 0, 0, 0, -1, -8, -142
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\types\serviceEntity\Service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -84, 0, 0, 0, 0, 0, 0, 0, -1, -8, -93
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\types\serviceEntity\lease.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, -2, -21
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\types\serviceEntity\page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, -1, -8
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\types\serviceEntity\post.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -51, 0, 0, 0, 0, 0, 0, 0, 0, -6, -57
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\types\serviceEntity\user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, 0, 0, 0, 0, 0, 0, -4, -29
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\utils\Date.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, 0, 0, 0, 0, 0, -10, -7, -41
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\utils\cache\cookies.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, -1, -3, -15
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\utils\cache\localStorage.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, -1, -4, -19
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\utils\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, -3, -3, -23
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\utils\permission.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, 0, 0, 0, 0, -1, -2, -16
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\utils\requestTransform.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, -4, -24
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\utils\service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -91, 0, 0, 0, 0, 0, 0, 0, -16, -5, -112
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\utils\validate.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, 0, 0, -4, -25
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\Property\Service.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -304, 0, 0, -1, -23, -328
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\Property\ServiceOrder.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -256, 0, 0, -3, -16, -275
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\dashboard\admin\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, -2, -15
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\dashboard\user\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -198, 0, 0, -1, -18, -217
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\error-page\403.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -2, -11
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\error-page\404.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -2, -11
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\error-page\components\ErrorPageLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, 0, 0, 0, -2, -25
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\lease\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -244, 0, 0, -3, -16, -263
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\login\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -177, 0, 0, 0, -6, -183
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\permission\components\SwitchRoles.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -32, 0, 0, 0, -5, -37
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\permission\directive.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -81, 0, 0, 0, -6, -87
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\permission\page.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, 0, -4, -23
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\post\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -270, 0, 0, 0, -22, -292
